veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg,incremental price,,,,,,,,,,,,,,,,,
1,HONDA,Acura,MDX 4WD,11,SUV,T,G,50.8,45706,22.05,57380,23.01, $199 ,,,,,,,,,,,,,,,,,
2,HONDA,Acura,RDX,11,SUV,T,G,45.1,34588,24.17,21271,26.46, $(848),,,,,,,,,,,,,,,,,
3,HONDA,Acura,RL,4,MIDSIZE CARS,C,G,47.6,47935,24.56,5132,23.77," $2,515 ",,,,,,,,,,,,,,,,,
4,HONDA,Acura,TL,4,MIDSIZE CARS,C,G,47.8,35218,27.07,56720,26.88, $822 ,,,,,,,,,,,,,,,,,
5,HONDA,Acura,TSX,3,COMPACT CARS,C,G,46,29483,29.86,21996,31.87," $5,223 ",,,,,,,,,,,,,,,,,
6,Aston Martin,Aston Martin,DB9,19,SUBCOMPACT CARS,C,G,46.15722222,175065,16.85,323,19.54," $12,005 ",,,,,,,,,,,,,,,,,
7,Aston Martin,Aston Martin,V8 Vantage,19,COMPACT CARS,C,G,43.95399306,113526,19.53,1047,19.98," $7,224 ",,,,,,,,,,,,,,,,,
8,VOLKSWAGEN,Audi,A3,8,SMALL STATION WAGONS,C,G,42.18882917,27239,32.23,4696,37.95," $1,453 ",,,,,,,,,,,,,,,,,
9,VOLKSWAGEN,Audi,A3 Quattro,3,SMALL STATION WAGONS,C,G,42.18882917,36404,27.24,682,30.91," $(5,554)",,,,,,,,,,,,,,,,,
10,VOLKSWAGEN,Audi,A4,3,COMPACT CARS,C,G,43.1208125,30403,31.71,11807,34.11," $1,047 ",,,,,,,,,,,,,,,,,
11,VOLKSWAGEN,Audi,A4 Avant Quattro,3,SMALL STATION WAGONS,C,G,43.1208125,33871,28.85,3099,30.25," $1,479 ",,,,,,,,,,,,,,,,,
12,VOLKSWAGEN,Audi,A4 Cabriolet,2,SUBCOMPACT CARS,C,G,43.1208125,41336,31.82,2166,34.11, $665 ,,,,,,,,,,,,,,,,,
13,VOLKSWAGEN,Audi,A4 Cabriolet Quattro,2,SUBCOMPACT CARS,C,G,43.1208125,44925,28.08,2763,29.94, $(825),,,,,,,,,,,,,,,,,
14,VOLKSWAGEN,Audi,A4 Quattro,3,COMPACT CARS,C,G,43.1208125,32875,28.81,23411,30.64, $(525),,,,,,,,,,,,,,,,,
15,VOLKSWAGEN,Audi,A5 Quattro,2,SUBCOMPACT CARS,C,G,46.89239583,41489,26.68,1817,30.11," $(4,296)",,,,,,,,,,,,,,,,,
16,VOLKSWAGEN,Audi,A6,4,MIDSIZE CARS,C,G,49.42020417,44600,27.82,2390,28.18, $601 ,,,,,,,,,,,,,,,,,
17,VOLKSWAGEN,Audi,A6 Avant Quattro,4,MIDSIZE STATION WAGONS,C,G,49.42020417,50771,25.40,1118,26.21," $2,540 ",,,,,,,,,,,,,,,,,
